kata_slang;kata_baku
krna;karena
kro;sama
ksh;kasih
ktika;ketika
ktny;katanya
kucau;kacau
kudu;harus
kumkeb;kumpul kebo
kunaon;kenapa
kuping;telinga
kurangin;kurangkan
kuwi;itu
kuyo;hina
kwalitas;kualitas
kyk;seperti
kyok;seperti
kzl;kesal
lagsg;langsung
lakuin;melakukan
laporin;laporkan
laporke;laporin
lawak;lucu
layak;pantas
lbh;lebih
le;mas
lebay;berlebihan
lebeh;berlebihan
lengser;turun
lengserin;lengser
lg;lagi
lgi;lagi
lgs;langsung
lgsg;langsung
lgsug;langsung
lgsung;langsung
lht;lihat
liat;lihat
ligane;liganya
link;tautan
lip;bibir
lnjut;lanjut
lo;kamu
loba;banyak
lobbaaaaaaaaaaaaaa;banyak
loe;kamu
lol;tertawa
lord;tuan
love;cinta
lu;kamu
luck;sukses
lugu;banyak tingkah
lurr;teman
lwt;lewat
maaci;terima kasih
maafin;maafkan
maap;maaf
mabok;mabuk
maen;main
maenya;mainnya
mafia;kejahatan
mager;malas gerak
maharani;mahal
maho;homoseksual
mainstream;sangat umum
mak;maksimal
maksa;paksa
maksain;paksa
malaysian;malaysia
males;malas
maluin;malu
mamak;ibu
managing;manajemen
manajemen;mengurus
mandek;berhenti
mang;memang
manggil;panggil
mangkanya;makanya
mangkel;kesal
mangkeli;kesal
mantab;mantap
mantap;mantap
manut;nurut
marquee player;pemain populer
masak;masa
maseh;masih
masiv;masif
maslah;masalah
masukin;masukan
masyarak;masyarakat
masyarakatpun;masyarakat pun
masyarakt;masyarakat
masyarkat;masyarakat
match match;pengaturan pertandingan
match;perbandingan
match;pertandingan
matiin;matikan
max;maksimal
mau;ingin
mbakas;demi
mbantu;membantu
mbikin;membuat
mbiyen;dahulu
mbok ben;bisa gitu
mbok;tidak
mboten;tidak
mcem;macam
mcm;macam
mecat;pecat
medsos;media sosial
meh;mau
meh;supaya
mehong;mahal
mejeng;diam
melintir;tergulung
meloby;bernegosiasi
melok;ikut
meloka;menolak
melontrakan;melontarkan
mempertanyakn;mempertanyakan
menangin;menang
menarik;bagus
mencolok;terlihat jelas
mencopot;melepas
mendiamkan;diam
mending;dari pada
meneketehe;tidak tahu
menel;centil
menepis;menolak
mengaharapkan;mengharapkan
mengaman;aman
mengatasnamakan;memakai nama
mengbal;sepak bola
mengerti;paham
menggolkan;menyukseskan
menggoreng;membahas
menghianati;mengkhianati
mengoreng;membahas
mengungumkan;mengumumkan
menjajnjikan;menjanjikan
menjawb;menjawab
menolaj;tolak
menolak;tolak
mensupport;mendukung
mentri;menteri
menunjukkn;menunjukan
menurutku;menurut saya
menyalahkab;menyalahkan
merubah;mengubah
mesti;harusnya
mesti;ngerti
mestibya;mestinya
mewacakan;mewacanakan
mgkin;mungkin
mgkn;mungkin
mhimbau;menghimbau
mhs;mahasiswa
mhsw;mahasiswa
migor;mi goreng
mikirnya;pikirnya
milih;pilih
mimin;admin
min;admin
mini soccer;sepakbola kecil
minimal;minim
minn;admin
minus;minim
miris;sedih
missi;misi
mjd;menjadi
mkn;makan
mknya;makanya
mksd;maksud
mksh;terima kasih
mlm;malam
mls;malas
mmang;memang
mmbenci;membenci
mmg;memang
mmnuhi;memenuhi
mn;mana
mndukung;mendukung
mngp;menganggap
mngusulkan;mengusulkan
mnjalankan;menjalankan
mnjatuhkan;menjatuhkan
mntap;hebat
mntp;hebat
mnyampaikan;menyampaikan
mnyatakan;menyatakan
mnyerang;menyerang
mo;mau
moal;tidak
modus;maksud lain
momok;takut
motif;pola
motone;mata
moyang;leluhur
mreka;mereka
mrk;mereka
mrka;mereka
mrnunda;menunda
mrpkan;merupakan
mrpkn;merupakan
msa;masa
msalah;masalah
msalh;masalah
msh;masih
mslah;masalah
mslh;masalah
much;lebih
mudeng;mengerti
mulu;terus
muncul;keluar
mundakno;naiknya
mung;hanya
mung;nya
mure;murah
musti;mesti
mutar;putar
mw;mau
naikin;menaikan
najong;najis
nak;di
nalar;berpikir
nalas;nalar
nambai;tambah
nampaknya;tampaknya
nanya;tanya
naon;apa
napah;kenapa
nasbung;nasi bungkus
nasehat;nasihat
ncaa;asosiasi atletik perguruan tinggi nasional
ndage;lucu
ndagel;lucu
ndak;tidak
ndan;dan
ndi;mana
ndlogok;bodoh
ndlogokk;bodoh
ndobol;bohong
ndolor;paham
nduduhke;menuduh
negri;negeri
neh;aja
nekat;berani
nendang;tendang
neng;kapan
nerima;terima
neule;lihat
never;tidak pernah
new;baru
news;berita
ngaco;kacau
ngadain;ada
ngajak;ajak
ngajak;mengajak
ngajeblag;banyak
ngakalin;pikir
ngaku;mengaku
ngapa;mengapa
ngapunten;maaf
ngarah;menuju
ngarep;berharap
ngasih;kasih
ngatur;mengurus
ngebandingin;membandingkan
ngebet;ingin sekali
ngegas;marah
ngeh;paham
ngejak;ngajak
ngejeplak;menjiplak
ngel;sulit
ngelanggar;melanggar
ngelarang;melarang
ngeles;alasan
ngeliat;melihat
ngelola;kelola
ngene;ini
ngerasa;merasa
ngeributin;meributkan
ngerti;paham
ngerusak;merusak
ngetik;ketik
ngeuh;paham
ngeyel;keras kepala
ngga;tidak
nggak;tidak
nggeeerrr;iya
nggiring;giring
nggk;tidak
nggo;pakai
nggu;menunggu
ngibul;membohongi
ngidolain;membanggakan
ngirimin;kirimkan
ngk;tidak
nglatih;melatih
ngmng;omong
ngmong;bicara
ngomel;marah
ngomng;omong
ngomong;bicara
ngomongan;omong
ngomongin;membicarakan
ngomongnya;bicaranya
ngono;gitu
ngotot;paksa
ngributin;meributkan
ngubah;ubah
ngulama;ulama
ngumpet;bersembunyi
ngurus;mengurus
ngurusi;mengurus
nic;penggemar agnezmo
nice;bagus
nicong;penggemar agnezmo
nk;kalo
nmr;nomor
nnak;ke
nntn;nonton
no;tidak
nolak;tolak
nomer;nomor
nongkrong;kumpul kumpul
nonton;tonton
norakkkk;heran
noted;dicatat
nothing;tidak ada
now;sekarang
ntap;mantap
ntar;nanti
nti;nanti
ntn;nonton
nton;nonton
nu;yang
numpang;tumpang
numpas;tumpas
nunggak;terhambat
nunggu;menunggu
nuntut;tuntut
nurunin;menurunkan
nurut;patuh
ny;nya
nyabu;memakai sabu
nyadar;sadar
nyalahi;menyalahi
nyalahin;menyalahkan
nyalon;mencalonkan
nyapres;mencalonkan presiden
nyari;cari
nyariin;cari
nyarikan;cari
nyaring;saring
nyata;asli
nyebelin;menyebalkan
nyerahin;mempercayakan
nyinyirin;nyinyir
nyuarakeun;menyuarakan
nyungsep;jatuh
nyuruh;menyuruh
nyusahin;susah
nyuwon;meminta
official;resmi
offise;sisi luar
offside;sisi luar
offsite;sisi luar
oiya;oh iya
ojolali;jangan lupa
ok;setuju
okay;setuju
oke;setuju
oleng;pusing
olh;oleh
oligakri;oligarki
omnifora;omnivora
omong;bicara
online;daring
ono;ada
onside;sisi dalam
opo;apa
opsetin;sisi luar
optimistis;percaya
or;atau
ora;tidak
org;orang
orovokasi;provokasi
out;keluar
overall;keseluruhan
pakde;bapak
pakdhe;bapak
pake;pakai
pakenya;pakai
pakum;selesai
palbis;paling bisa
paniiiik;panik
panjenengan;anda
panteslah;pantaslah
parte;partai
pasrah;menyerahkan
